"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"01/11/2024","4,17","4,19","0,48","4,15","4,21","6,99M"
"31/10/2024","4,14","4,17","0,97","4,14","4,25","9,38M"
"30/10/2024","4,12","4,13","0,24","4,11","4,20","8,35M"
"29/10/2024","4,15","4,12","-0,72","4,10","4,16","3,65M"
"28/10/2024","4,17","4,15","-0,24","4,14","4,22","3,53M"
"25/10/2024","4,13","4,16","1,46","4,11","4,19","6,82M"
"24/10/2024","4,12","4,10","-0,73","4,09","4,12","3,46M"
"23/10/2024","4,14","4,13","-0,72","4,11","4,16","2,81M"
"22/10/2024","4,12","4,16","0,97","4,11","4,19","3,89M"
"21/10/2024","4,14","4,12","-0,48","4,12","4,18","3,62M"
"18/10/2024","4,12","4,14","0,73","4,09","4,15","2,90M"
"17/10/2024","4,06","4,11","1,23","4,02","4,14","5,06M"
"16/10/2024","4,05","4,06","0,25","4,03","4,08","2,76M"
"15/10/2024","4,06","4,05","0,00","4,02","4,09","6,29M"
"14/10/2024","4,04","4,05","0,50","3,99","4,05","13,75M"
"11/10/2024","4,11","4,03","-1,71","4,02","4,12","15,41M"
"10/10/2024","4,19","4,10","-2,15","4,10","4,19","10,15M"
"09/10/2024","4,24","4,19","-1,41","4,17","4,25","4,51M"
"08/10/2024","4,25","4,25","0,00","4,19","4,26","3,41M"
"07/10/2024","4,27","4,25","-0,47","4,23","4,29","3,85M"
"04/10/2024","4,23","4,27","0,95","4,21","4,27","5,02M"
"03/10/2024","4,25","4,23","-0,47","4,17","4,25","6,56M"
"02/10/2024","4,21","4,25","1,19","4,21","4,30","5,31M"
"01/10/2024","4,20","4,20","0,00","4,18","4,22","6,99M"
"30/09/2024","4,20","4,20","0,00","4,19","4,27","3,90M"
"27/09/2024","4,24","4,20","-0,94","4,19","4,24","7,36M"
"26/09/2024","4,17","4,24","2,17","4,15","4,28","5,00M"
"25/09/2024","4,21","4,15","-1,43","4,15","4,21","3,26M"
"24/09/2024","4,20","4,21","1,20","4,17","4,23","3,94M"
"23/09/2024","4,18","4,16","-0,24","4,14","4,19","4,32M"
"20/09/2024","4,24","4,17","-1,18","4,17","4,25","6,89M"
"19/09/2024","4,26","4,22","-0,94","4,22","4,30","4,74M"
"18/09/2024","4,30","4,26","-0,47","4,25","4,32","6,42M"
"17/09/2024","4,33","4,28","-1,15","4,28","4,34","4,98M"
